 Incident particle is a   Muon with M =   105.65839 MeV
 Index =  297:  carbon (gem diamond)
     Absorber with Z =   6,  A = 12.0107(8), density = 3.520 (revised)
 Sternheimer coef:  a     k=m_s   x_0    x_1    I[eV]   Cbar  delta0
                 0.2614  2.8697 -0.1135  2.2458   78.0  2.4271 0.12
 (Restricted energy loss for Tcut = 0.05 MeV
 Table written with (1X, 1P9E10.3,0PF8.4,f8.5,1pE10.3)          post-Born included in pair prod
 *** Results below 10 MeV are not dependable ***
      T         p     Ionization  brems     pair     photonuc  Radloss    dE/dx   CSDA Range  delta   beta   dE/dx_R
    [MeV]    [MeV/c]  -----------------------[MeV cm^2/g]------------------------  [g/cm^2]                [MeV cm^2/g]
  2.000E+08 2.000E+08 3.281E+00 2.047E+02 2.856E+02 1.155E+02 6.058E+02 6.091E+02 1.878E+06 26.4801 1.00000 1.332E+00
  2.500E+08 2.500E+08 3.311E+00 2.559E+02 3.571E+02 1.444E+02 7.573E+02 7.606E+02 1.952E+06 26.9264 1.00000 1.332E+00
  3.000E+08 3.000E+08 3.335E+00 3.071E+02 4.285E+02 1.732E+02 9.087E+02 9.121E+02 2.011E+06 27.2910 1.00000 1.332E+00
  3.500E+08 3.500E+08 3.356E+00 3.582E+02 4.999E+02 2.021E+02 1.060E+03 1.064E+03 2.062E+06 27.5993 1.00000 1.332E+00
  4.000E+08 4.000E+08 3.374E+00 4.094E+02 5.713E+02 2.310E+02 1.212E+03 1.215E+03 2.106E+06 27.8664 1.00000 1.332E+00
  4.500E+08 4.500E+08 3.391E+00 4.606E+02 6.427E+02 2.598E+02 1.363E+03 1.366E+03 2.145E+06 28.1020 1.00000 1.332E+00
  5.000E+08 5.000E+08 3.405E+00 5.118E+02 7.141E+02 2.887E+02 1.515E+03 1.518E+03 2.180E+06 28.3127 1.00000 1.332E+00
  5.500E+08 5.500E+08 3.418E+00 5.629E+02 7.855E+02 3.176E+02 1.666E+03 1.669E+03 2.211E+06 28.5033 1.00000 1.332E+00
  6.000E+08 6.000E+08 3.430E+00 6.141E+02 8.569E+02 3.464E+02 1.817E+03 1.821E+03 2.240E+06 28.6773 1.00000 1.332E+00
  7.000E+08 7.000E+08 3.452E+00 7.165E+02 9.997E+02 4.042E+02 2.120E+03 2.124E+03 2.291E+06 28.9856 1.00000 1.332E+00
  8.000E+08 8.000E+08 3.471E+00 8.188E+02 1.143E+03 4.619E+02 2.423E+03 2.427E+03 2.335E+06 29.2527 1.00000 1.332E+00
  9.000E+08 9.000E+08 3.487E+00 9.212E+02 1.285E+03 5.197E+02 2.726E+03 2.730E+03 2.373E+06 29.4883 1.00000 1.332E+00
  1.000E+09 1.000E+09 3.502E+00 1.024E+03 1.428E+03 5.774E+02 3.029E+03 3.033E+03 2.408E+06 29.6990 1.00000 1.332E+00
